"userid","user_display_name","user_screen_name","user_reported_location","user_profile_description","user_profile_url","follower_count","following_count","account_creation_date","account_language"
"Fa0nMj9dZ+zhLS9CHiXYwCOtryR8b6m5wMR+UQI9lQ=","Fa0nMj9dZ+zhLS9CHiXYwCOtryR8b6m5wMR+UQI9lQ=","Fa0nMj9dZ+zhLS9CHiXYwCOtryR8b6m5wMR+UQI9lQ=","","Joven Cubano. Ingeniero, #Revolucionario y amante de la Informática.","","1759","2120","2019-04-29","es"
"lphZn35n7SSfX5a1vbWlh13Vwmy0YeJLbypJl5QBhFI=","lphZn35n7SSfX5a1vbWlh13Vwmy0YeJLbypJl5QBhFI=","lphZn35n7SSfX5a1vbWlh13Vwmy0YeJLbypJl5QBhFI=","Cuba","Hasta la victoria siempre","","4","19","2018-12-31","en"
"UV9AlyXZTyCJiHqVu5D2skYN8t3L3UQr+x6LpoNVkE=","UV9AlyXZTyCJiHqVu5D2skYN8t3L3UQr+x6LpoNVkE=","UV9AlyXZTyCJiHqVu5D2skYN8t3L3UQr+x6LpoNVkE=","","Cuenta Oficial de la Brigada Médica Cubana en Kenia","","3","17","2020-03-31","en"
"uT29QCx00amRYRAPD8w9WpLk41mq20yeVHhnybhDNY8=","uT29QCx00amRYRAPD8w9WpLk41mq20yeVHhnybhDNY8=","uT29QCx00amRYRAPD8w9WpLk41mq20yeVHhnybhDNY8=","","Pandita 

No Nudes","","114","114","2020-02-18","es"
"o9WcIJwxhFCBNFP5LSaaIhYi3qKHQIgt7sl3lM7HaQw=","o9WcIJwxhFCBNFP5LSaaIhYi3qKHQIgt7sl3lM7HaQw=","o9WcIJwxhFCBNFP5LSaaIhYi3qKHQIgt7sl3lM7HaQw=","","Cubano 100pre y revolucionario hasta en la otra vida.","","2098","5348","2019-01-07","es"
"kdjv+e54SzcFBzA52E+PhPqpJ+kjDZw2AT5gQ4BmGLo=","kdjv+e54SzcFBzA52E+PhPqpJ+kjDZw2AT5gQ4BmGLo=","kdjv+e54SzcFBzA52E+PhPqpJ+kjDZw2AT5gQ4BmGLo=","Cienfuegos","","","180","354","2019-05-16","es"
"8ciGccxFAJ2290jedXVBjQbXD3iDUpKcbTaTs5v+X94=","8ciGccxFAJ2290jedXVBjQbXD3iDUpKcbTaTs5v+X94=","8ciGccxFAJ2290jedXVBjQbXD3iDUpKcbTaTs5v+X94=","La Habana","Fiel seguidor de las ideas de #Fidel y de la #RevolucionCubana","","34","75","2019-06-25","es"
"4q5hegNPVUp0VByRZXmXVErweWoQxUi8iIfGavbSaM=","4q5hegNPVUp0VByRZXmXVErweWoQxUi8iIfGavbSaM=","4q5hegNPVUp0VByRZXmXVErweWoQxUi8iIfGavbSaM=","Matanzas. Cuba","Si se pudo, se puede y se podrá. Fiel continuador de las ideas de Fidel y Raúl #SomosContinuidad #NoAlBloqueo #YoSigoAMiPresidente #VamosporMas","","2613","4325","2018-03-19","es"
"iAi7E7IspburgAr4Y0cPAUwEOR+YCKZNUrNxoswsTf8=","iAi7E7IspburgAr4Y0cPAUwEOR+YCKZNUrNxoswsTf8=","iAi7E7IspburgAr4Y0cPAUwEOR+YCKZNUrNxoswsTf8=","Rancagua, Chile","","","40","49","2020-02-11","en"
"SX+FY1D6I2xOPIDpyWRzjhzPhrLeh+SMRqJzv4y1Yy4=","SX+FY1D6I2xOPIDpyWRzjhzPhrLeh+SMRqJzv4y1Yy4=","SX+FY1D6I2xOPIDpyWRzjhzPhrLeh+SMRqJzv4y1Yy4=","Granma, Cuba","Cubano por siempre, amante de su Revolución,
y fiel al socialismo.","","2185","1943","2012-06-09","es"
"wl5VE9ur1jZvU2OKvmoQQMtGsxOw4aEbcgNGedWC0IM=","wl5VE9ur1jZvU2OKvmoQQMtGsxOw4aEbcgNGedWC0IM=","wl5VE9ur1jZvU2OKvmoQQMtGsxOw4aEbcgNGedWC0IM=","Coquimbo, Chile","","","47","49","2020-02-13","en"
